ID,LAT,LON,TIPOLOGIA,name,LEGALE_RA,UBICAZIONE,addr:street,addr:housenumber,CLASSIFICAZIONE,City,POSTILETTO
414,40.6583221,16.6113357,hotel,Casino Ridila,Hotel Ridola Srl,Via Morelli  1,Via Morelli ,1,4,Matera,24
415,40.664612,16.609095,hotel,Albergo Italia,Romagna Rosalia,Via Ridola  5,Via Ridola ,5,3,Matera,100
416,40.6657213,16.6096428,hotel,Casale dei Sindaci- Albergo del Sedile,Ditta Ala Srl Adorante Pasquale,Recinto del Sedile  4,Recinto del Sedile ,4,4,Matera,
417,40.6745547,16.6062277,hotel,Chiostro delle Cererie,Ambrico Carmine,Via Cererie 16,Via Cererie,16,2,Matera,51
418,40.6758046,16.596221,hotel,Hotel Nazionale,Htel Nazionale Srl,VIA NAZIONALE  158,VIA NAZIONALE ,158,4,Matera,86
419,40.6676975,16.6101551,hotel,Hotel Residence San Giorgio,Alessandra Antodaro,Via Fiorentini 259,Via Fiorentini,259,3,Matera,39
420,40.6670639,16.6051056,hotel,Hotel San Domenico,Olivieri Nunzio,Via Roma  15,Via Roma ,15,4,Matera,126
421,40.6651906,16.6119451,hotel,Hotel Sant'angelo,Ruscigno Nicola,Piazza San Pietro Caveoso,Piazza San Pietro,,5S,Matera,44
422,40.6671977,16.6097752,hotel,Hotel Sassi,Piergregorio Padula,Via San Giovanni Vecchio  89,Via San Giovanni Vecchio ,89,3,Matera,113
423,40.660796,16.61314,hotel,Il Belvedere,Santeramo Nicola,Via casalnuovo 133,Via casalnuovo,133,3,Matera,25
424,40.6678407,16.6091579,hotel,Locanda di San Martino,Panetta,Via San Rocco  67,Via San Rocco ,67,3,Matera,88
425,40.642884,16.617057,hotel,Masseria San Francesco,Donigestioni Srl,contrada san francesco,contrada san,,4,Matera,22
426,40.666495,16.611328,hotel,Palazzo Gattini (dimora Storica),Palazzo Gattini S.R.L. Benedetto Nicola,Piazza Duomo  13/14,Piazza Duomo ,,5,Matera,42
427,40.66647,16.61176,hotel,Palazzo Viceconte,Sirio Di Arena Margherita,via san potito,via san,,4,Matera,35
428,40.6680109,16.6047752,hotel,Piccolo Albergo,Soc. Sasso Alto S.R.L. - Mazzei Andrea Marcello,Via De Sariis  11/13,Via De Sariis ,,3,Matera,20
430,40.6661359,16.6117184,hotel,Palazzo del Duca,Rf Building Srl,VIA MURO 44 AL 52,VIA MURO 44 AL,52,4,Matera,18
431,40.6639544,16.6111861,hotel,Hotel San Pietro,De Montigny,VIA BRUNO BUOZZI 97,VIA BRUNO BUOZZI,97,4,Matera,30
777,40.66707174,16.60365268,hotel,Albergo Roma,Tortorelli Giovanni,Via Roma  62,Via Roma ,62,2,Matera,15
432,40.66428734,16.61065496,hotel,Casa di Lucio,Nicola Lucio Ruscigno,via san pietro caveoso 66,via san pietro caveoso,66,4,Matera,18
778,40.66790214,16.60977563,hotel,Fra I Sassi Residence,Maria Cristina Amenta,via d'addozio 102,via d'addozio,102,3,Matera,36
779,40.720184,16.58084,hotel,Hm Matera Hotel,Gestin Matera Srl,Via Germania - loc. Venusio,Via Germania - loc.,,4,Matera,244
780,40.66491,16.6114,hotel,Hotel Caveoso,Mazzei Pietrantonio,Rione Pianelle  26/33,Rione Pianelle ,,3,Matera,37
781,40.68129968,16.58382465,hotel,Hotel del Campo,Passarelli Carla,Via Lucrezio  s.n.,Via Lucrezio ,,4,Matera,78
782,40.667489,16.609345,hotel,Hotel In Pietra,Cristallo Roberto,Via San Giovanni Vecchio  17/18/19/20/21/22,Via San Giovanni Vecchio ,,3,Matera,18
783,40.69962388,16.58619919,hotel,Hotel La Corte,Deri Srl,S.S. 99 - Km. 14 690,S.S. 99 - Km. 14,690,4,Matera,88
784,40.66261133,16.6124493,hotel,Hotel Basiliani,Malve Srl Stagno Giuseppe,rione casalnuovo106 ecc.,rione casalnuovo106,,3,Matera,35
785,40.68321696,16.59245459,hotel,La Cava del Sole Hotel Residence,La Vaglia Srl Grieco Bruna,contrada la vaglia srl,contrada la vaglia,,3,Matera,
787,40.68482889,16.57532473,hotel,Motel Giardinelle,Chiuso,via Gravina,via,,2,Matera,20
788,40.66335046,16.59800477,hotel,Palace Hotel,Sacco Casamassima Pietro,Piazza Michele Bianco s.n.,Piazza Michele Bianco,,4,Matera,110
789,40.66732577,16.61246806,hotel,Sextanzio- Le Grotte della Civica,Dom Srl,via madonna delle virtu' 149,via madonna delle virtu',149,4,Matera,36
790,40.72701757,16.60300445,hotel,Masseria Fontana di Vite,Fagio Srl,,,,4,Matera,24
791,40.71115998,16.57974289,motel,La Sosta,La Sosta Srl,ND.MATERA/ALTAMURA KM.13 576 snc,ND.MATERA/ALTAMURA KM.13 576,,3,Matera,13
792,40.71928328,16.66431337,hotel,Tenuta Danesi,Tenuta Danesi Soc Coop. ,CDA LE MATINE,CDA LE,,,Matera,9
793,40.66289054,16.61129943,hotel,Aquatio Cave Luxury Hotel,Dierresseti' Srl,VIA CONCHE 12,VIA CONCHE,12,5S,Matera,99
794,40.667751,16.611836,hotel,Cenobio Hotel Matera,Cenobio Sas Di Gaudiano Maria Lucia,"VIA CIVITA 9,10,11,12,13,14,15",VIA CIVITA,,4,Matera,24
795,40.688078,16.54727,hotel,Fast Motel,Auxilium Soc.Coop,,,,,Matera,
