ID,LAT,LON,TIPOLOGIA,name,LEGALE_RA,UBICAZIONE,City,Country,INIZIO ATTIVITA',POSTI LETTO
432,40.652006,16.528981,Agriturismo,AGRITURISMO COLLE IGINO,RICCARDI ANGELA,Contrada Colle Igino,Matera,Italy,,
433,40.697225,16.529445,Agriturismo,MATINELLE,CARDINALE DOMENICO,Contrada Matinelle,Matera,Italy,,
434,40.6662162,16.4406633,Agriturismo,TEMPA BIANCA,RICCARDI EUSTACHIO,Contrada Rifeccia,Matera,Italy,,
435,40.6749,16.64508,Agriturismo,NONNA ROSA,DI LECCE MICHELE,contrada trasano,Matera,Italy,,
436,40.6879278,16.6712004,Agriturismo,TORRE SPAGNOLA,DI MAURO NUNZIO,Contrada Torre Spagnola,Matera,Italy,,
792,40.65229,16.607146,Agriturismo,AZIENDA AGRIT. MASSERIA PANTALEONE,LOPERFIDO ANGELO RAFFAELE,Loc. Chiancalata C.da Scatolino,Matera,Italy,,
793,40.66102,16.52293,Agriturismo,MASSERIA SARRA,DIPALMA ALESIO,Contrada Ponte Timmari,Matera,Italy,,
794,40.621778,16.515886,Agriturismo,VENTRICELLI,VENTRICELLI ROSA,Loc. Bradano Lauria - Diga San Giuliano,Matera,Italy,,
795,40.630808,16.585399,Agriturismo,TENUTA LAMACCHIA,,,Matera,Italy,,
796,40.618643,16.557029,Agriturismo,CASAL DRAGONE,,,Matera,Italy,43361,
797,40.715095,16.516152,Agriturismo,MASSERIA LA FIORITA,CASTORO,contrada marroni,Matera,Italy,,
798,40.603659,16.721318,Agriturismo,AZIENDA AGRICOLA SANTORO,SANTORO CATERINA,contrada la bruna,Matera,Italy,43504,
