ID,LAT,LON,TIPOLOGIA,name,LEGALE_RA,UBICAZIONE,CLASSIFICAZIONE,Country,FOGLIO,City,PARTICELLA,SUB,POSTI LETTO
414,40.6583221,16.6113357,Albergo,CASINO RIDILA,HOTEL RIDOLA SRL,Via Morelli  1,4stelle,Italy,103,Matera,56,5,24
415,40.664612,16.609095,Albergo,ALBERGO ITALIA,ROMAGNA ROSALIA,Via Ridola  5,3stelle,Italy,159,Matera,1332,12,100
416,40.6657213,16.6096428,Albergo,CASALE DEI SINDACI- ALBERGO DEL SEDILE,DITTA ALA SRL ADORANTE PASQUALE,Recinto del Sedile  4,4stelle,Italy,,Matera,,,
417,40.6745547,16.6062277,Albergo,CHIOSTRO DELLE CERERIE,AMBRICO CARMINE,Via Cererie 16,2stelle,Italy,,Matera,,,51
418,40.6758046,16.596221,Albergo,HOTEL NAZIONALE,HTEL NAZIONALE srl,VIA NAZIONALE  158,4 stelle,Italy,159,Matera,5023,6,86
419,40.6676975,16.6101551,Albergo,HOTEL RESIDENCE SAN GIORGIO,ALESSANDRA ANTODARO,Via Fiorentini 259,3 stelle,Italy,159,Matera,769,10,39
420,40.6670639,16.6051056,Albergo,HOTEL SAN DOMENICO,OLIVIERI NUNZIO,Via Roma  15,4stelle,Italy,,Matera,,,126
421,40.6651906,16.6119451,Albergo,HOTEL SANT'ANGELO,RUSCIGNO NICOLA,Piazza San Pietro Caveoso,5 stelle lusso,Italy,159,Matera,1669,1,44
422,40.6671977,16.6097752,Albergo,HOTEL SASSI,PIERGREGORIO PADULA,Via San Giovanni Vecchio  89,3stelle,Italy,159,Matera,364,1,113
423,40.660796,16.61314,Albergo,IL BELVEDERE,SANTERAMO NICOLA,Via casalnuovo 133,3stelle,Italy,159,Matera,2987,6,25
424,40.6678407,16.6091579,Albergo,LOCANDA DI SAN MARTINO,PANETTA,Via San Rocco  67,3stelle,Italy,159,Matera,4353,,88
425,40.642884,16.617057,Albergo,MASSERIA SAN FRANCESCO,DONIGESTIONI SRL,contrada san francesco,4stelle,Italy,113,Matera,341,4,22
426,40.666495,16.611328,Albergo,PALAZZO GATTINI (DIMORA STORICA),Palazzo Gattini S.r.l. Benedetto Nicola,Piazza Duomo  13/14,5stelle,Italy,159,Matera,1282,4,42
427,40.66647,16.61176,Albergo,PALAZZO VICECONTE,sirio DI ARENA MARGHERITA,via san potito,4stelle,Italy,159,Matera,1258,34,35
428,40.6680109,16.6047752,Albergo,PICCOLO ALBERGO,Soc. Sasso Alto S.r.l. - Mazzei Andrea Marcello,Via De Sariis  11/13,3stelle,Italy,159,Matera,3754,5,20
430,40.6661359,16.6117184,Albergo,PALAZZO DEL DUCA,RF BUILDING SRL,VIA MURO 44 AL 52,4stelle,Italy,159,Matera,1434,2,18
431,40.6639544,16.6111861,borgo albergo,HOTEL SAN PIETRO,DE MONTIGNY,VIA BRUNO BUOZZI 97,4stelle,Italy,159,Matera,2105,11,30
777,40.66707174,16.60365268,Albergo,ALBERGO ROMA,TORTORELLI GIOVANNI,Via Roma  62,2stelle,Italy,159,Matera,3772,7,15
432,40.66428734,16.61065496,Albergo,CASA DI LUCIO,NICOLA LUCIO RUSCIGNO,via san pietro caveoso 66,4stelle,Italy,159,Matera,1766,2,18
778,40.66790214,16.60977563,Albergo,FRA I SASSI RESIDENCE,MARIA CRISTINA AMENTA,via d'addozio 102,3stelle,Italy,159,Matera,279,17,36
779,40.720184,16.58084,Albergo,HM MATERA HOTEL,GESTIN MATERA SRL,Via Germania - loc. Venusio,4stelle,Italy,,Matera,,,244
780,40.66491,16.6114,Albergo,HOTEL CAVEOSO,MAZZEI PIETRANTONIO,Rione Pianelle  26/33,3stelle,Italy,159,Matera,1698,2,37
781,40.68129968,16.58382465,Albergo,HOTEL DEL CAMPO,PASSARELLI CARLA,Via Lucrezio  s.n.,4stelle,Italy,51,Matera,9,3,78
782,40.667489,16.609345,Albergo,HOTEL IN PIETRA,CRISTALLO ROBERTO,Via San Giovanni Vecchio  17/18/19/20/21/22,3stelle,Italy,,Matera,,,18
783,40.69962388,16.58619919,Albergo,HOTEL LA CORTE,DERI SRL,S.S. 99 - Km. 14 690,4stelle,Italy,30,Matera,234,,88
784,40.66261133,16.6124493,Albergo,HOTEL BASILIANI,MALVE SRL STAGNO GIUSEPPE,rione casalnuovo106 ecc.,3stelle,Italy,159,Matera,2336,1,35
785,40.68321696,16.59245459,Albergo,LA CAVA DEL SOLE HOTEL RESIDENCE,la vaglia srl grieco bruna,contrada la vaglia srl,3stelle,Italy,70,Matera,2119,2,
787,40.68482889,16.57532473,Albergo,MOTEL GIARDINELLE,CHIUSO,via Gravina,2stelle,Italy,51,Matera,602,1,20
788,40.66335046,16.59800477,Albergo,PALACE HOTEL,SACCO CASAMASSIMA PIETRO,Piazza Michele Bianco s.n.,4stelle,Italy,71,Matera,1933,1,110
789,40.66732577,16.61246806,Albergo,SEXTANZIO- LE GROTTE DELLA CIVICA,DOM SRL,via madonna delle virtu' 149,4stelle,Italy,,Matera,,,36
790,40.72701757,16.60300445,Albergo,MASSERIA FONTANA DI VITE,FAGIO SRL,,4stelle,Italy,15,Matera,102,1,24
791,40.71115998,16.57974289,MOTEL,LA SOSTA,LA SOSTA SRL,ND.MATERA/ALTAMURA KM.13 576 snc,3stelle,Italy,13,Matera,455,5,13
792,40.71928328,16.66431337,Albergo,TENUTA DANESI,TENUTA DANESI SOC COOP. ,CDA LE MATINE,,Italy,19,Matera,242,1,9
793,40.66289054,16.61129943,Borgo albergo,AQUATIO CAVE LUXURY HOTEL,DIERRESSETI' SRL,VIA CONCHE 12,5 stelle lusso,Italy,159,Matera,1976,5,99
794,40.667751,16.611836,Albergo,CENOBIO HOTEL MATERA,CENOBIO SAS DI GAUDIANO MARIA LUCIA,"VIA CIVITA 9,10,11,12,13,14,15",4 stelle,Italy,159,Matera,1247,8,24
795,40.688078,16.54727,Albergo,FAST MOTEL,AUXILIUM SOC.COOP,,,Italy,,Matera,,,
