ID,LAT,LON,TIPOLOGIA,name,LEGALE_RA,UBICAZIONE,City,FOGLIO,PARTICELLA,Country,SUB,POSTI LETTO,DATA INIZIO ATTIVITA'
278,40.7259988,16.5756483,Bed & Breakfast,ANGOLO FELICE,REGA FRANCESCO,via Ungheria 8,Matera,14,1060,Italy,1,6,40812
279,40.665452,16.6101048,Bed & Breakfast,BELVEDERE,RITELLA ANTONIA,arco del sedile 4,Matera,159,1498,Italy,18,2,41061
280,40.666178,16.6109311,Bed & Breakfast,DEL CASTELVECCHIO,CORETTI FRANCESCO,salita castelvecchio 23,Matera,159,1533,Italy,7,8,41045
281,40.658884,16.592437,Bed & Breakfast,VILLA NICK HOUSE,MANICONE NICOLA,C.DA POZZO MISSEO,Matera,100,763,Italy,1,4,40721
282,40.666601,16.608135,Bed & Breakfast,FIORENTINI,LOGALLO GIOVANNI,via Fiorentini 14,Matera,159,2974,Italy,12,4,41486
283,40.6419824,16.6227369,Bed & Breakfast,HOME SWEET HOME,BRUNO VINCENZO,via dell'Ariete 1,Matera,114,722,Italy,6,3,41408
284,40.6572151,16.6124274,Bed & Breakfast,I TRE FIORI,PEPE ANGELA,via fosse ardeatine 4,Matera,103,818,Italy,9,5,40612
285,40.6645267,16.610666,Bed & Breakfast,IL CORTILE,DONATELLA ACITO,via San Pietro Caveoso 55,Matera,159,1470,Italy,4,8,39913
286,40.668078,16.6052844,Bed & Breakfast,LUCANA 22,ANGELO CATOGGIO,VIA LUCANA 22,Matera,159,3765,Italy,12,6,42340
287,40.6763994,16.5732106,Bed & Breakfast,MATERA,EMANUELE MONTEMURRO,via del Commercio,Matera,67,2052,Italy,9,4,41421
288,40.6669025,16.6045068,Bed & Breakfast,SANTA MARTA,CARBONE MARIA,via  Lucana 53,Matera,159,2710,Italy,17,4,40379
289,40.6669499,16.6101862,Bed & Breakfast,TRE CORONE,MARIA TORELLI,Via Sette Dolori 2,Matera,159,737,Italy,,2,41351
290,40.6440597,16.6223163,Bed & Breakfast,VILLA ROSSANA,DI PEDE MASSIMILIANO,via columella 10,Matera,106,288,Italy,2,6,40392
291,40.7096401,16.4864765,Bed & Breakfast,AL BORGHETTO,LAMACCHIA FRANCESCO,BORGO  PICCIANO A,Matera,23,59,Italy,,2,42430
292,40.6665076,16.6113147,Bed & Breakfast,AL CAMPANILE,SINNO PATRIZIA,VIA RISCATTO 7,Matera,159,1137,Italy,22,4,42534
293,40.6635375,16.6075749,Bed & Breakfast,AL CASTELLO,MELODIA FRANCESCA,VIA LANERA 5,Matera,103,252,Italy,4,7,42299
294,40.6642679,16.6036248,Bed & Breakfast,AL CENTRO B&B,BUONO FRANCESCO PAOLO,VIA GRAMSCI 27,Matera,101,218,Italy,12,6,42357
295,40.663392,16.6113458,Bed & Breakfast,AL CONVENTO,MONTEMURRO VINCENZO E.,via Purgatorio Vecchio 3,Matera,159,2101,Italy,3,4,39744
296,40.661369,16.6108069,Bed & Breakfast,AL VECCHIO MULINO,MUSOLINO FABIO,via lucana 205/B,Matera,159,5331,Italy,48,8,42857
297,40.6572151,16.6124274,Bed & Breakfast,ALESSANDRO B&B,ALESSANDRO MONTEMURRO,VIA FOSSE ARDEATINE 7,Matera,103,1046,Italy,18,3,42466
298,40.6662804,16.6062283,Bed & Breakfast,AMADEUS LUXURY HOME,CONTEROSITO FEDERICA,VIA A. PERSIO 2,Matera,159,2707,Italy,18,3,42607
299,40.6901477,16.5814859,Bed & Breakfast,AMARANTO B&B,ANTONIO MARAGNO,VIA CADUTI NASSIRIA 139,Matera,28,1117,Italy,1,6,42465
300,40.6734,16.60121,Bed & Breakfast,AURORA,AULETTA MARIA AURORA,VIA GUGLIELMO MARCONI 13,Matera,159,4882,Italy,7,3,42153
301,40.6710809,16.5957062,Bed & Breakfast,B & B DELL'ANGELO,DI CUIA ANGELA SAVERIA,C.DA PEDALE DELLA PALOMBA,Matera,53,392,Italy,,,42577
302,40.68490445,16.58722994,Bed & Breakfast,VILLA DEI PICENI,ANNA MARIA BERARDI,VIA DEI PICENI 20,Matera,51,517,Italy,5,2,39828
305,40.6490276,16.6252952,Bed & Breakfast,B&B AGNA,FIORE ANTONIO,CONTRADA AGNA SNC.,Matera,105,402,Italy,5,2,42199
306,40.6602956,16.6090475,Bed & Breakfast,B&B DON MILANI,CAVONE ROSALBA,VIA D.L. MILANI 10,Matera,103,797,Italy,9,4,42586
307,40.669989,16.60884,Bed & Breakfast,B&B PATA',TERESA LIONETTI,VIA SANTA CESAREA 10,Matera,159,171,Italy,5,2,42577
310,40.6710809,16.5957062,Bed & Breakfast,BEST VALUE,SINNO CARMINE,via Fratelli grimm 5,Matera,159,47,Italy,34,4,38391
311,40.6806036,16.5838406,Bed & Breakfast,BUON VENTO,FRANCESCO PAOLO NICOLETTI,VIA GRAVINA 7,Matera,68,1034,Italy,52,4,42367
312,40.6616999,16.6090141,Bed & Breakfast,CASA E BOTTEGA,ANDREA RIZZELLI,VIA CHIANCALATA 5,Matera,103,459,Italy,5,4,42338
313,40.66654,16.6116928,Bed & Breakfast,CASA LAMANNA,PROVINZANO ANTONIA,VIA SAN POTITO 43,Matera,159,1294,Italy,1,4,38572
314,40.6673746,16.6103511,Bed & Breakfast,CASA NEI SASSI,LIONETTI GIUSEPPE,VIA DEI FIORENTINI 72,Matera,159,891,Italy,1,6,42192
316,40.6715245,16.6065459,Bed & Breakfast,CONTE GATTINI,FRAMCESCO FESTA,VIA LAURA BATTISTA 2,Matera,159,3679,Italy,1,4,42431
317,40.6653869,16.606358,Bed & Breakfast,DA VINCI,VINCENZO FRASCELLA,VIA LUCANA 101,Matera,159,3966,Italy,5,6,42289
318,40.6686036,16.6021741,Bed & Breakfast,DANTE,BARBOSA CUTINO DANEXYS,VIA DANTE 5,Matera,71,377,Italy,30,3,42474
320,40.6686766,16.6059701,Bed & Breakfast,DEL CORSO,MICHELE GUARINI,VIA XXSETTEMBRE 39,Matera,159,4537,Italy,73,4,42093
321,40.665389,16.6114459,Bed & Breakfast,DELLA TORRE,MONTANARO ANNA MARIA,VIA MURO 26,Matera,,,Italy,,4,38016
322,40.69233962,16.59229993,Bed & Breakfast,B & B SERRITELLO LA VALLE,FRANCESCO P. MANICONE,C.DA SERRITELLOM LA VALLE,Matera,52,1242,Italy,7,6,42043
323,40.6663738,16.6075909,Bed & Breakfast,DOMUS DEL BARISANO,ANDRISANI FABIO,VIA LOMBARDI 16,Matera,,,Italy,,8,39190
